,tweet_id,user_username,author_id,user_name,text,created_at,in_reply_to_user_id,user_created_at,user_description,user_location,retweet_count,like_count,quote_count,user_followers_count,user_following_count,sourcetweet_type,tokenized_text,hashtags,punctuation
3499,1281604232731332608,enricosalvator,3726377536,Enrico Salvatori,@MicroFocus CMO @GenefaMurphy recaps #INSPIRE 20 Episode 2: Michael Fieldhouse and the role of #neurodiversity in the workplace in this fantastic new #CSR blogpost https://t.co/o9a53WEssB #MyMicroFocus https://t.co/wJptTh4xod,2020-07-10T15:00:34.000Z,19936330.0,2015-09-21T08:18:23.000Z,,,0,0,0,92,163,,cmo recaps episode michael fieldhouse role workplace fantastic new blogpost,"['#inspire', '#neurodiversity', '#csr', '#mymicrofocus']","['', '', '']"
3506,1281599850816180224,GuillemotPress,4003751277,Guillemot Press,"New on the Guillemot Journal today: Cat Chong (@MarbledMayhem) and Jen Hadfield (@hadfield_jen) in conversation on neurodiversity, language and poetry. https://t.co/5kebd23vQE",2020-07-10T14:43:10.000Z,,2015-10-20T18:14:26.000Z,A small press publishing beautiful books and pamphlets of poetry and prose. Winner of the 2018 Michael Marks Publishers Award.,Cornwall,8,16,3,6628,864,,new guillemot journal today cat chong jen hadfield conversation language poetry,[],"['', '', '', '', '', '', '']"
3507,1281599286967439361,BarbarinaV_,211969786,Babs,.@BooksandChokers so pleased to see your book displayed in my local @BroadStBooks! Obviously I bought a copy and can’t wait to read it with my daughter. We need more autistic girls in books 😁 #Neurodiversity #book #childrenbooks https://t.co/zaOjokLJZ2,2020-07-10T14:40:55.000Z,,2010-11-04T19:46:51.000Z,Spanish. Mum of 3 kids. Autistic. Off duty librarian. SOAS graduate. Cake addict. Love books. Oxfam bookshop volunteer.,"Reading, England",0,8,1,1023,476,,pleased see book displayed local obviously bought copy wait read daughter need autistic girls books,"['#neurodiversity', '#book', '#childrenbooks']","['', '', '’', '', '😁']"
3510,1281587809535488002,nonsibicunctis,763640523223474177,non sibi cunctis,"Autism Is an Identity, Not a Disease: Inside the Neurodiversity Movement by Katherine Reynolds Lewis in @elemental https://t.co/77paVfbilK",2020-07-10T13:55:19.000Z,,2016-08-11T07:37:43.000Z,,"Queensland, Australia",0,0,0,614,1791,,autism identity disease inside movement katherine reynolds lewis,[],"['', '']"
3511,1281587452294172672,tweetsofbeth,425325084,Beth 👩🏻‍💻,"I uploaded a new post on my blog yesterday on autism and its benefits to the world of work. You can read it at the link below. 

#autism #autismintheworkplace #disability #neurodiversity #newblogpost #personal #careerdevelopment 

https://t.co/oXDcxoOBza https://t.co/6mHNjzyjZ6",2020-07-10T13:53:54.000Z,,2011-11-30T21:24:50.000Z,Administrator. Social media marketer. Blogger. TV drama & film watcher. Sudoko doer. Knitter. Coffee drinker. She/Her. All views my own.,"Bristol, UK",0,0,0,692,4990,,uploaded new post blog yesterday autism benefits world work read link,"['#autism', '#autismintheworkplace', '#disability', '#neurodiversity', '#newblogpost', '#personal', '#careerdevelopment']","['', '']"
3512,1281581904794353665,welshflier,323731198,WelshFlier,"I'm sure I remember something via @GDSTeam or maybe @OneTeamGov about good practices in employing/working in relation to #neurodiversity I've been contacted by a Masters student, who wants to do some HR research on the topic. Anyone?",2020-07-10T13:31:51.000Z,,2011-06-25T09:50:25.000Z,Anne Collis. Owner-director of PinkGold Ltd. NeuDICE co-founder. Christian.AuDHD. 2e. Age 58 and no plans to stop working to change the world.,South Wales,0,0,0,1320,1957,,im sure remember something via maybe good practices employing working relation ive contacted masters student wants hr research topic anyone,['#neurodiversity'],"['', '', '', '']"
3513,1281576014406090752,SourceAbled,964470400875823104,SourceAbled,"#InclusionAlert!
The position will entail operating industrial scanning machines, extracting mails &amp; matching information on documents and envelopes, among other responsibilities.

Apply: https://t.co/Ozcobdxwbn

#EmploymentForEveryone #autism #neurodiversity #disabilityinclusion https://t.co/iZOHkAExpY",2020-07-10T13:08:27.000Z,,2018-02-16T12:03:57.000Z,"Autism, Neurodiversity, Disability Employment Solutions—Jobs, Career Advice, Interview Prep, Support | Awareness Training, D&I Consulting, HR Tech","Somerset, NJ",0,0,0,128,126,,position entail operating industrial scanning machines extracting mails matching information documents envelopes among responsibilities apply,"['#inclusionalert', '#employmentforeveryone', '#autism', '#neurodiversity', '#disabilityinclusion']","['', '', '', '', '', '']"
3518,1281566200024182788,Busylifeandme,885898161381937152,Diversity Designs® & SmileClouds™️ by Busy Life,"Neurodiversity Collection - Templates for Tourette's Syndrome, ADHD, Autism, Dyslexia, Dyspraxia &amp; of course, neurotypical. The templates can be used for any other neurotypes that use the same ribbon colour. @AwareTourettes @ADHD @AutismTalkAspie @screen4dyslexia @DyspraxiaAware https://t.co/xjZJV8dUPa",2020-07-10T12:29:27.000Z,8.858981613819372e+17,2017-07-14T16:25:55.000Z,"Multi award winning products that champion inclusion with a focus on disABILITY. Clothing, accessories, & toys that do just this and make you smile! #thinkINC",England,0,1,0,3876,4875,,collection templates tourettes syndrome adhd autism dyslexia dyspraxia course neurotypical templates used neurotypes use ribbon colour,[],"['', '', '', '', '', '', '', '', '']"
3519,1281565479962677248,ndmediahq,1139373387837427717,Neurodiversity Media,@UntoNuggan This reality is all too familiar to us here at Neurodiversity Media!,2020-07-10T12:26:35.000Z,3178522242.0,2019-06-14T03:25:59.000Z,Neurodiversity Media hosts evidence-based learning resources for the neurodivergent employment lifecycle.,Global,0,0,0,1414,525,,reality familiar us media,[],['']
3520,1281565020934021121,MeeshSnowDoes,1259030090622607361,Michelle Snow,"@MrsNickyClark ...we called you transphobic. Which we never did.

Talk to trans people.

Better yet, talk to autistic trans people. We aren't exactly short on neurodiversity as a community.",2020-07-10T12:24:45.000Z,1.2590300906226074e+18,2020-05-09T07:59:08.000Z,"Journalist, audio editor and @WhatTheTrans founder person

Maybe you should stop treating your politics like it’s a religion please?",,0,5,0,719,362,,called transphobic never talk trans people better yet talk autistic trans people arent exactly short community,[],"['', '', '', '', '', '', '']"
3522,1281562914151960576,abdrazakchelihi,813434819954806793,Dr. chelihi rabah,"Autism Is an Identity, Not a Disease: Inside the Neurodiversity Movement by Katherine Reynolds Lewis in @elemental https://t.co/y1Pwq9oP5b",2020-07-10T12:16:23.000Z,,2016-12-26T17:22:28.000Z,,Ksar Belezma                  ,0,0,0,1012,4801,,autism identity disease inside movement katherine reynolds lewis,[],"['', '']"
3524,1281733025877950465,VeronicaSApplet,308145962,"Veronica Appleton, PhD",So happy you could join!! Amazing discussion👊🏾 #neurodiversity https://t.co/6LZkjKlHgV,2020-07-10T23:32:21.000Z,,2011-05-30T22:23:16.000Z,👊🏽Diversity & Inclusion Executive⭐Award-winning Professor of Culture🍎Multicultural Children's Author @applevillebooks,IG: ApplevilleBookSeries,0,2,0,1039,1194,quoted,happy could join amazing discussion,['#neurodiversity'],"['', '', '👊🏾']"
3525,1281730895167156224,TwinMomKate,2585982764,Katie Cartoon,"@Joseph_wolfstar @JustStimming Thank you for your reply! I completely agree, but it’s always good to be reminded. I have a lot of ASD-littles (like 2-6) but for the ones a little older I like to introduce the language of neurodiversity- so they understand that how they are is perfectly fine.",2020-07-10T23:23:53.000Z,9.368593351745577e+17,2014-06-24T16:05:59.000Z,kids career BLM art etc.,,0,1,0,99,212,,thank reply completely agree always good reminded lot asdlittles like ones little older like introduce language understand perfectly fine,[],"['', '', '’', '', '', '', '', '', '']"
3528,1281727782611976193,Integrate_ERP,2349112854,Integrate ERP,#Neurodiversity in the tech sector - #SAP and #Cloud9 Insight make it all about the individual https://t.co/3mdoBebvLy https://t.co/FnhNEm0kos,2020-07-10T23:11:31.000Z,,2014-02-17T21:48:52.000Z,Integrate ERP We make staffing #SAP projects simple. #IT #SAP #Project #Staffing #Consulting and #Recruitment like it should be.,"Caerphilly, Wales",0,0,0,2175,40,,tech sector insight make individual,"['#neurodiversity', '#sap', '#cloud9']",['']
3530,1281725285545771014,LBarberis,386331613,Lorenzo Barberis Canonico,"PC culture marginalizes the neurodivergent, so by extension cancel culture is ableist https://t.co/ZqQWm6Cloz",2020-07-10T23:01:36.000Z,,2011-10-07T02:18:09.000Z,pessimist bc of game theory + optimist bc of collective intelligence,,0,2,0,218,370,,pc culture marginalizes extension cancel culture ableist,[],['']
3531,1281721268824350720,FmFrancoise,3229980963,Françoise Morvan,#Neurodiversity in The Workplace: The Benefits of Hiring ADHD Talent https://t.co/FnyYVPjbrp,2020-07-10T22:45:38.000Z,,2015-05-03T07:40:18.000Z,"#influencer #Lavalvirtual #CES2023 #CES2023w3T #Bank #Banque #SIA2023 @Credit_Agricole 
 #CréditAgricole #WomenInTech #Bretagne #Finistère #Quimper  #FrenchTech",France Bretagne Quimper,0,0,0,13898,14313,,workplace benefits hiring adhd talent,['#neurodiversity'],['']
3536,1281715042556080128,primalpoly,3656836876,Geoffrey Miller,The neurodiversity case for standardized testing. Excellent thread from @EricRWeinstein https://t.co/OLujgUzy2a,2020-07-10T22:20:53.000Z,,2015-09-14T20:56:57.000Z,"Psych professor; wrote The Mating Mind, Spent, Mate, Virtue Signaling. Themes: Evolution, sentience, civilization, EA, X risk, crypto. Wife: @sentientist.","New Mexico, USA",23,166,0,128597,6508,quoted,case standardized testing excellent thread,[],['']
3538,1281714625482981378,SGandAT,902172905248870400,Special Guardians and Adopters Together💙,"@Mrsjellies @ThePOTATOgroup So many of us parenting children &amp; young adults with neurodiversity issues - which can result from trauma - find there is nowhere to turn!! @IsabelleTrowler
Disabilities are denied to save ££ in the short term but in the end we all pay much more &amp; young lives are destroyed @EHRC",2020-07-10T22:19:14.000Z,539910083.0,2017-08-28T14:15:56.000Z,Peer support organisation striving for better understanding of our families’ needs through dialogue & lived experience research RTs/ Likes ≠ endorsements,United Kingdom,0,0,0,2444,3323,,many us parenting children young adults issues result trauma find nowhere turn disabilities denied save short term end pay much young lives destroyed,[],"['', '', '', '', '', '£', '£', '']"
3539,1281707640133955590,TransWorldView,67391972,Kayley Whalen,"“People don’t see disability as an identity; it’s a condition to be cured. No, we do not want a cure for a part of our neurology that’s a part of who we are, just like there’s no cure for Blackness” -@MorenikeGO  https://t.co/l64v288VPh #ActuallyAutistic #BlackDisabledLivesMatter",2020-07-10T21:51:29.000Z,,2009-08-20T18:58:11.000Z,"Advocate, traveler, scholar, and athlete. Independent Digital strategy consultant. Trans neurodivergent autistic Latina.","Washington, DC",0,2,0,3030,1784,,people see disability identity condition cured want cure part neurology part like cure blackness,"['#actuallyautistic', '#blackdisabledlivesmatter']","['“', '’', '', '’', '', '', '’', '', '’', '”', '']"
3544,1281694753864720385,NeuroRebel,801841042710495232,NeuroDivergent Rebel (they/them/Xe/Xem) 🧠 🏳️‍🌈,"20 Things I Wish People Understood About Neurodiversity - Kirsty Anne shares what she wishes people understood about autism and neurodiversity.

https://t.co/vzThMntb1t https://t.co/1pxbJs1cY2",2020-07-10T21:00:16.000Z,,2016-11-24T17:32:56.000Z,"Lyric Rivera: #Queer #Trans #ActuallyAutistic #Hyperlexic #ADHD, educator,  artist, & best selling author of Workplace NeuroDiversity Rising",Nomad,4,17,1,40502,12287,,things wish people understood kirsty anne shares wishes people understood autism,[],"['', '', '']"
3547,1281690075831689216,jaimegraceuk,426268605,JaimeGraceUK🐼,We run a discord server for anyone who are autistic and their relatives.  #ActuallyAutistic @cognus_autism #autismhood @AutismParentMag #specialneeds #Neurodiversity #aspie #NoCure #aspergers Please hit that share button. https://t.co/yJcEU9lrgn https://t.co/uPGMj1Y8I8,2020-07-10T20:41:41.000Z,,2011-12-02T01:34:38.000Z,"Blog author and photographer of #JaimeGraceUKsWorld

Streamer at https://t.co/zhF2FrmTee

Neurodivergent together: https://t.co/NM2hzGb2N5

#actuallyautistic",United Kingdom,0,1,0,847,1546,,run discord server anyone autistic relatives please hit share button,"['#actuallyautistic', '#autismhood', '#specialneeds', '#neurodiversity', '#aspie', '#nocure', '#aspergers']","['', '']"
3548,1281690040083652609,PagSprofile,1164996239471120385,PAGS®,"@southafrica9 thank you for sharing our poster! 
 #SEND #senco #education #highereducation #primaryeducation #educationchallenges #neurodiversity #community #educationcommunity",2020-07-10T20:41:32.000Z,1.1649962394711204e+18,2019-08-23T20:22:18.000Z,"We provide a dynamic assessment tool. Assess, plan, do, review for a wide range of SEN learners. Bett Finalist 2022. https://t.co/ZNcAjemQdd",Education. Worldwide,0,1,0,1066,2288,,thank sharing poster,"['#send', '#senco', '#education', '#highereducation', '#primaryeducation', '#educationchallenges', '#neurodiversity', '#community', '#educationcommunity']",['']
3549,1281688248243425281,GardenGalAnna,2450471682,Anna 🦓 🏳️‍🌈,"@commaficionado Straight from the Cummings handbook. Imagine this dystopian, NT bullshit tied into private healthcare. I doubt these systems have considered any type of neurodiversity.",2020-07-10T20:34:25.000Z,48945530.0,2014-04-17T22:00:26.000Z,"Brummie with janky joints, writer, gamer #Neurodiversity #Endometriosis  #LGBTQIA #Nonbinary 🏳️‍🌈 She/her/they/them - 'one of them pronouns in bio wankers' 💕",Birmingham,0,1,0,834,860,,straight cummings handbook imagine dystopian nt bullshit tied private healthcare doubt systems considered type,[],"['', '', '', '']"
3550,1281687617923420161,BrynTerranova,2452168375,Bryn Terranova,"@pulte Agree. Neurodiversity should be celebrated, not punished.",2020-07-10T20:31:55.000Z,25029495.0,2014-04-19T01:13:30.000Z,I make bass music.,"Austin, TX",0,0,0,2,33,,agree celebrated punished,[],"['', '', '']"
3554,1281681346994352128,EVEUniversity,40456529,EVE University,"Come join our intrepid CEO @Laura_Karpinski for a Neurodiversity coffee morning

NB: This event is aimed at those with ASD, anxiety, or other variations, but everyone is welcome. Please read the rules in the forum post before you attend. 

https://t.co/OMXlkiOYdH",2020-07-10T20:07:00.000Z,,2009-05-16T12:40:07.000Z,EVE Online's premier new player training corporation. Join today: https://t.co/olScbySBku…,Stacmon,0,5,0,3459,229,,come join intrepid ceo coffee morning nb event aimed asd anxiety variations everyone welcome please read rules forum post attend,[],"['', '', '', '', '', '']"
3561,1281667505149358083,feverses,912738703390445568,ْ,xenogenders are valid... when they make sense and align with neurodiversity. finding comfort online doesn’t equate to a new gender.,2020-07-10T19:12:00.000Z,9.127387033904456e+17,2017-09-26T18:00:39.000Z,,they/them 21,0,1,0,927,15,,xenogenders valid make sense align finding comfort online equate new gender,[],"['', '', '’', '']"
3562,1281665821933264896,SPL2GO,3018845128,Suffolk Public Library,Looking for your next great read? Check out a title or two on our Brains &amp; Bodies book list to celebrate neurodiversity and reads for all abilities! Place books on hold to use our curbside pickup service. https://t.co/cEd53iaWKM #suffolkpubliclibrary #SeeYOUatTheLibrary #books https://t.co/q5lmOmSTKA,2020-07-10T19:05:18.000Z,,2015-02-04T22:01:56.000Z,"The Suffolk Public Library is dedicated to creating an informed, enlightened, and thriving community where all can achieve their highest potential. 757-514-7323","Suffolk, Virginia",0,0,0,410,321,,looking next great read check title two brains bodies book list celebrate reads abilities place books hold use curbside pickup service,"['#suffolkpubliclibrary', '#seeyouatthelibrary', '#books']","['', '', '', '']"
3563,1281664230668800001,niki_euphoria7,3434696627,💜⟭⟬Niki⁷⟬⟭니티💜,"@MrJohnnyDean Nobody's right or business to dismiss, devalue or doubt somebody else's neurodiversity. I often wonder what people think they gain from doing this.",2020-07-10T18:58:59.000Z,1099343772.0,2015-08-21T21:17:51.000Z,back up for @niki_euphoria 💜Ginger💜Writer💜Insomniac💜Refuses to adult💜Bias🐰wreckers🐿🐱🐨🐭🐥🐻Purple everything please💜🏴󠁧󠁢󠁷󠁬󠁳󠁿🇬🇧(fan account),"Wales, United Kingdom",0,0,0,291,326,,nobodys right business dismiss devalue doubt somebody elses often wonder people think gain,[],"['', '', '']"
3565,1281662659524546563,BeccaLoryCAS,842428309342412802,"Becca Lory Hector,CAS,BCCS","Playing hookie! No news is good news today, so go create some joy! 

Neurodiversity Newsstand will be back next Friday :) https://t.co/C1G1zt0cyA",2020-07-10T18:52:44.000Z,,2017-03-16T17:32:15.000Z,Diagnosed on the autism spectrum as an adult and since become an active advocate and life coach for individuals on the autism spectrum.,"New York, USA",0,1,0,1168,393,,playing hookie news good news today go create joy newsstand back next friday,[],"['', '', '', '']"
3566,1281662531182960640,WTBDavidG,317894857,David Gillon,"Disabled activists call for a refreshed social model to ‘bring it back to life’ https://t.co/o1C1kMflUv
IMO, the problem isn't that the Social Model doesn't address issues such as pain, or neurodiversity, it's that ppl, including some disabled ppl, resist its full implications.",2020-07-10T18:52:14.000Z,,2011-06-15T16:59:06.000Z,"Writer. Disability rights activist, campaigning against the scapegoating of disabled people.
Also at FBook as David.W.Gillon and Dreamwidth as DavidGillon","Kent, UK",0,0,0,2209,1385,,disabled activists call refreshed social model bring back life imo problem isnt social model doesnt address issues pain ppl including disabled ppl resist full implications,[],"['‘', '’', '', '', '', '', '', '']"
3569,1281660074201473024,AutisticFemb0y,901652115206103040,Lilo (they/he),"And yes, I'm also autistic. 

Again... really not the insult you think it is. 

It's in my screen name. I don't care if you call me autistic. I post frequently about disability advocacy from a neurodiversity standpoint. I'm open about my disabilities offline too. I'm not ashamed.",2020-07-10T18:42:28.000Z,9.01652115206103e+17,2017-08-27T03:46:30.000Z,"|When standardization is made compulsory, existence becomes resistance|🏳️‍⚧️(they/he)🏳️‍⚧️|28, white, autistic, OCD|👽Probably an alien👽|","Texas born,Seattle transplant ",5,234,0,14009,834,,yes im also autistic really insult think screen name dont care call autistic post frequently disability advocacy standpoint im open disabilities offline im ashamed,[],"['', '', '', '', '', '', '', '', '']"
3570,1281659987853553669,QueerCantHear,412409161,Jasper 🦡🤟,"I see the point, but I disagree with the definition of, and would use, in some cases 'abled'. In this context to me, abled = someone who doesn't have any form of disability, including but not limited to impairments: mobility, neurodiversity, hearing, sight or speech etc. https://t.co/6IUBUGx4oT",2020-07-10T18:42:07.000Z,,2011-11-14T17:07:44.000Z,"Deaf 🤟 EDSer/wheelie rebel ♿ #ActuallyAutistic

Queer 🏳️‍🌈🏳️‍⚧️ 

Works @DandA_inclusion, @WheelieQueer and @thriving_autist

All views my own, he/him.",,0,3,0,3416,1815,quoted,see point disagree definition would use cases abled context abled someone doesnt form disability including limited impairments mobility hearing sight speech etc,[],"['', '', '', '', '', '', '', '', '', '', '', '', '', '']"
3571,1281658563698421760,ellobean,22878131,"Elliot, Boy Princess","The shaming of bodies, sex, neurodiversity, and culture is unacceptable. The shaming of children and teens is unacceptable. The shaming of harmful behaviors in adults who should damn well know better? It's a social superpower if it can be harnessed. (5/6)",2020-07-10T18:36:28.000Z,22878131.0,2009-03-05T04:11:04.000Z,"31yo. Autistic/ADHD, trans (he/him). Perpetually tired, anxious, queer af. Frequent ghoster of social media; it's not you, I love you.","Adamantoise, The Goblet",0,0,0,132,419,,shaming bodies sex culture unacceptable shaming children teens unacceptable shaming harmful behaviors adults damn well know better social superpower harnessed,[],"['', '', '', '', '', '', '', '', '', '']"
3572,1281657702184189953,RNeurodiversity,2561293009,r/neurodiversity,"NYT is planning coverage of disability + wants input on what topics to cover, what questions ppl have https://t.co/0lwRoSzq79",2020-07-10T18:33:02.000Z,,2014-06-11T12:41:48.000Z,Sharing content from the neurodiversity politics discussion group on http://t.co/AgP74FYO3d.,,0,0,0,1218,1642,,nyt planning coverage disability wants input topics cover questions ppl,[],"['', '']"
3573,1281657698577047552,RNeurodiversity,2561293009,r/neurodiversity,"Autism Is an Identity, Not a Disease: Inside the Neurodiversity Movement https://t.co/DhfWUAH5xv",2020-07-10T18:33:02.000Z,,2014-06-11T12:41:48.000Z,Sharing content from the neurodiversity politics discussion group on http://t.co/AgP74FYO3d.,,1,2,0,1218,1642,,autism identity disease inside movement,[],"['', '']"
3576,1281652418892242945,wearebctech,15801318,BC Tech Association,Join us for our next #WhatWorks session and learn how hiring FOR neurodiversity can bring incredible benfits to your business. Led by Carol Simpson from @focus_ps. #Purpose https://t.co/xps2Drkhv5 https://t.co/oKd5xpBtbS,2020-07-10T18:12:03.000Z,,2008-08-10T21:02:23.000Z,We are dedicated to making British Columbia the best place to grow and scale a tech company.,"Vancouver, British Columbia",0,5,1,10754,2541,,join us next session learn hiring bring incredible benfits business led carol simpson,"['#whatworks', '#purpose']","['', '']"
3583,1281902911019253761,AURICICHOR,1220871218372411392,ROWAN • they/he 🏳️‍⚧️,"#Neurodiversity consists of autism, ADHD/ADD and tourettes. you are born with these and you will have these for the rest of your life. you cannot 'obtain' them. stop calling yourself neurodiverse if you're just depressed, you're mentally ill, learn the difference between them",2020-07-11T10:47:25.000Z,,2020-01-25T00:49:24.000Z,"19 • they/he • queer, disabled, disordered • OSDD-1a, autism and other shit • atheistic satanist",,0,1,0,341,616,,consists autism adhd add tourettes born rest life cannot obtain stop calling youre depressed youre mentally ill learn difference,['#neurodiversity'],"['', '', '', '', '', '', '', '', '']"
3584,1281901734428839936,mariwalahealth,851732592948908032,Mariwala Health Initiative,Timelines are scripts &amp; those who fall out of these scripts are excluded- queer calendars are different. Or in mental health- recovery hastimeline related script. Power structures are validated by time #queertime #criptime #Neurodiversity #qacp #qacpcohort #queeringmentalhealth https://t.co/GC0FVOpb3y,2020-07-11T10:42:44.000Z,8.51732592948908e+17,2017-04-11T09:44:09.000Z,"Mental health funding & advocacy agency with a focus on making mental health accessible to marginalised communities. 
https://t.co/NbNHi9mDu1…","Mumbai, India",5,6,0,6037,2246,,timelines scripts fall scripts excluded queer calendars different mental health recovery hastimeline related script power structures validated time,"['#queertime', '#criptime', '#neurodiversity', '#qacp', '#qacpcohort', '#queeringmentalhealth']","['', '', '', '', '']"
3586,1281894949668171776,thecoinhunter,16370014,Joanna Strom,Neurodivergence: Provoking a New Mind Sight - via @smedian_network #ArtificialIntelligence #Neurodiversity #Neuroscience #Humanity https://t.co/I6H3USxLjU,2020-07-11T10:15:47.000Z,,2008-09-19T20:46:51.000Z,Thought Leader/Writer/Creative,"Texas, USA",0,0,0,1151,4880,,neurodivergence provoking new mind sight via,"['#artificialintelligence', '#neurodiversity', '#neuroscience', '#humanity']","['', '']"
3590,1281889823876354049,dawncruttenden,149453135,Dawn,Any recommendations people???? This is to help a little boy with autism moving into year 2 to better explain neurodiversity to his classmates https://t.co/LP5a4t8sSh,2020-07-11T09:55:25.000Z,,2010-05-29T09:39:36.000Z,Author. Artist. Teacher. Derry Girl. Represented by @TBP_agency ‘WaterStones Children’s Book Prize’ shortlist 2021 #SCBWI #animalart #illustration,London/Derry/Donegal,4,8,0,3279,2695,quoted,recommendations people help little boy autism moving year better explain classmates,[],"['', '', '', '']"
3591,1281888826265423872,bpickardflute,3095161175,Beth Pickard,"Fantastically rich presentation from Hilary Davies to start @musictherapyuk #Autism network event today- such a wealth of literature shared and autistic voices privileged throughout, great to engage with #disabilitystudies and #neurodiversity perspectives 👍 #thankyou Hilary! ♾",2020-07-11T09:51:27.000Z,,2015-03-18T18:45:45.000Z,"Senior Lecturer, Researcher; Music Therapist; Inclusive Music; Critical Disability Studies; Ally, Advocate; Associate Editor @journalnordicMT- NTF, PhD- she/her",Cardiff,2,14,0,2199,3743,,fantastically rich presentation hilary davies start network event today wealth literature shared autistic voices privileged throughout great engage perspectives hilary,"['#autism', '#disabilitystudies', '#neurodiversity', '#thankyou']","['', '', '👍', '', '♾']"
3596,1281880325619019776,barisanhantu,1222820028522696706,Barisan Hantu,"Other ADHD accounts: tweet mostly about ADHD

Me: started a political/philosophy account that became a neurodiversity account but gets distracted by BLM and GE2020

I'd argue this is the true ADHD brand 😂",2020-07-11T09:17:40.000Z,,2020-01-30T09:53:18.000Z,"Tumblr: https://t.co/vHADReIHjX
Tiktok: barisanhantu",,18,188,2,12317,1313,,adhd accounts tweet mostly adhd started political philosophy account became account gets distracted blm ge id argue true adhd brand,[],"['', '', '', '😂']"
3597,1281876316149686272,AdhdEmbraceUK,1162830217,Adhd Embrace,"Check out our Eventbrite page to see the events we have lined up in the coming months - let us know which event you're interested in attending! 

https://t.co/rT8UiNlyRo

#ADHD #Neurodiversity #webinars #seminars",2020-07-11T09:01:44.000Z,,2013-02-09T12:23:51.000Z,"We support parents, carers, and professionals working with children and young people with ADHD. info@adhdembrace.org","London, England",0,0,0,3373,1745,,check eventbrite page see events lined coming months let us know event youre interested attending,"['#adhd', '#neurodiversity', '#webinars', '#seminars']","['', '']"
3600,1281870027122237440,SarahWalden14,2411548512,Sarah Walden,@_bobbiegardner I feel you on this. Had similar “good meetings” that went nowhere on neurodiversity. Makes me think I’m an embodied tickbox. I hope things change for you!,2020-07-11T08:36:45.000Z,199704338.0,2014-03-25T21:17:32.000Z,,,0,0,0,331,482,,feel similar good meetings went nowhere makes think embodied tickbox hope things change,[],"['', '“', '”', '', '’', '', '']"
3601,1281869626750763008,TheBookWhisper2,1103049078609506305,TheBookWhisperer,"I'm wanting to add a list of boks celebrating neurodiversity to my recomm book lists.  What would you recommend to readers that you've enjoyed, found useful?  Fiction or Non-Fiction!  :) https://t.co/Td9joPt1yV",2020-07-11T08:35:09.000Z,,2019-03-05T21:46:08.000Z,"Badass book fanatic, blogger & reviewer. Will leap tall buildings in a single bound to find the 1 book that ignites a child's love of reading! UK & NZ based.",,3,10,2,2522,926,,im wanting add list boks celebrating recomm book lists would recommend readers youve enjoyed found useful fiction nonfiction,[],"['', '', '', '', '']"
3604,1281864952295206912,kouskoi,1195546564992753665,cia,"@V4NHEUSENS dw it’s not offensive at all!! i have ocd and i consider myself neurodivergent because it’s a neurological disorder. but i think it depends on if you use the older definition of neurodiversity, which is basically just adhd and autism, or this one: https://t.co/pUjKYhL1mM",2020-07-11T08:16:35.000Z,7.486976292829962e+17,2019-11-16T03:40:29.000Z,prepare for trouble @rocketduos | #KOU: fuck being the bigger person i’m about to start biting people,she/they | sbc,0,2,0,719,936,,dw offensive ocd consider neurological disorder think depends use older definition basically adhd autism one,[],"['’', '', '', '’', '', '', '', '']"
3605,1281855453182361600,singer_judy,1564258514,Judy Singer ND,"#Neurodiversity #Pride. My daughter, dxed with ""borderline"" IQ and ""hyperlexia"", not only passed 1st yr Uni, (which she left as it didn't fit her talents), but has now nearly finished the entire #TheWestWing series. How many ppl can claim the IQ to finish that? I know I can't.",2020-07-11T07:38:50.000Z,,2013-07-02T22:31:31.000Z,"AFAIK coined #Neurodiversity in 1998 to name the emerging social movt for #Neurominority rights. Not here to make Capitalism more efficient, just more humane.",NSW Australia,0,7,0,4373,993,,daughter dxed borderline iq hyperlexia passed st yr uni left didnt fit talents nearly finished entire series many ppl claim iq finish know cant,"['#neurodiversity', '#pride', '#thewestwing']","['', '', '', '', '', '', '', '', '', '', '', '', '', '']"
3606,1281845873417187329,FaeriePrincex,2841166778,🐝🌻Bee🌻🐝🍃 he/fae🌿🔞,"My coping mechanisms, neurodiversity, comfort items and behaviors being childish or childlike =/= being less serious or capable",2020-07-11T07:00:46.000Z,,2014-10-05T10:47:45.000Z,"🌿🐝🌺🦢goose prince🦢🌺🐝🌿 
🧼Bee/26/he-him/fae-faer, non-binary lesbian, white/BLM/🔞autistic🐸adhd✏️ EDS🦓
🌺🌈Cleftie🌈🌺",💐🕊🌹light nsfw content🌹🕊💐,0,3,0,268,411,,coping mechanisms comfort items behaviors childish childlike less serious capable,[],"['', '', '', '']"
3607,1281844673661726720,heatherIrace,16598522,Heather the Potter,"Is it me, or my #ADHD ? I regularly get famous people mixed up in my mind. Example: I read “Ann Coulter,” saw a photo of Ann Coulter, but was convinced the thing was about Kellyanne Conway. Just me? #NeurodiverseSquad #Neurodiversity #adhdisreal",2020-07-11T06:56:00.000Z,,2008-10-05T03:44:46.000Z,"Potter, person. “Easily amused” - some lady. Black lives matter; Trans lives matter. #ADHD she/her","North Coast, Oregon",0,0,0,225,877,,regularly get famous people mixed mind example read ann coulter saw photo ann coulter convinced thing kellyanne conway,"['#adhd', '#neurodiversesquad', '#neurodiversity', '#adhdisreal']","['', '', '', '', '“', '', '”', '', '', '']"
